Coin,WF_points,CAGR,Sharpe,Sortino,MaxDD,Calmar
Dogecoin,2205,0.4302076250409692,1.0236669159451333,1.046567221726806,-0.9432380323357639,0.45609656342543703
Ethereum,1705,0.19054593356465466,1.0228431023233326,0.823690609109162,-0.9871235623345594,0.19303149153264879
NEM,1810,0.24164544613733296,0.9928972692972329,1.0281963737447706,-0.9911247413721112,0.24380931688029064
Monero,2070,0.07488410944581037,0.8889952957676195,0.8428636186997465,-0.9806202244289149,0.0763640271536765
XRP,2315,0.18722668048550095,0.7425539512015168,0.7896101112767496,-0.9745903079461801,0.19210808783832897
